,Algorithm,Chi-squared,Df,Max Prob,Max Selection Prob Ratio,Mean Prob,Min Prob,Number of samples,P-value,PRNG,Pop size,Range,Range P-value,Sample size,reps,seed
0,Algorithm_R,674.5882999999999,714,0.00174,1.6571428571428573,0.0013986013986013986,0.00105,715.0,0.8520002648370566,MT,13,69,0.8134221316622926,4,100000,100
1,FYKD,742.356,714,0.00177,1.824742268041237,0.0013986013986013986,0.00097,715.0,0.22414914103928196,MT,13,80,0.1679563804491886,4,100000,100
2,PIKK,730.7301,714,0.00188,1.938144329896907,0.0013986013986013986,0.00097,715.0,0.32386324512062203,MT,13,91,0.009453177122450196,4,100000,100
3,Random_Sample,717.8744,714,0.00173,1.6320754716981132,0.0013986013986013984,0.00106,715.0,0.4522503950837675,MT,13,67,0.904169748832104,4,100000,100
4,sample_by_index,704.7612999999999,714,0.00174,1.6415094339622642,0.0013986013986013984,0.00106,715.0,0.590131122850619,MT,13,68,0.8631222009981663,4,100000,100
5,Algorithm_R,709.50644,714,0.001534,1.2431118314424634,0.0013986013986013984,0.001234,715.0,0.5404272928215175,MT,13,150,0.9011387104227913,4,500000,100
6,FYKD,725.5910800000001,714,0.001584,1.2836304700162073,0.0013986013986013986,0.001234,715.0,0.3734583730419837,MT,13,175,0.2392462506506816,4,500000,100
7,PIKK,717.69748,714,0.001602,1.3439597315436242,0.0013986013986013986,0.001192,715.0,0.45409861008066466,MT,13,205,0.007688789767831827,4,500000,100
8,Random_Sample,685.2393400000001,714,0.001568,1.246422893481717,0.0013986013986013986,0.001258,715.0,0.7745306369645841,MT,13,155,0.795939654995848,4,500000,100
9,sample_by_index,771.4254400000001,714,0.001562,1.2596774193548388,0.0013986013986013986,0.00124,715.0,0.06703593929778262,MT,13,161,0.6252421735298643,4,500000,100
10,Algorithm_R,668.90924,714,0.001547,1.1881720430107527,0.0013986013986013986,0.001302,715.0,0.8852362096582299,MT,13,245,0.2776270090705252,4,1000000,100
11,FYKD,705.10683,714,0.001521,1.1763341067285382,0.0013986013986013986,0.001293,715.0,0.5865429492943817,MT,13,228,0.6184768305147095,4,1000000,100
12,PIKK,738.3872200000001,714,0.001511,1.196357878068092,0.0013986013986013986,0.001263,715.0,0.2559947024878206,MT,13,248,0.23181151248774545,4,1000000,100
13,Random_Sample,757.48201,714,0.001511,1.1786271450858035,0.0013986013986013986,0.001282,715.0,0.12597012250874562,MT,13,229,0.5966807682509032,4,1000000,100
14,sample_by_index,806.1363299999999,714,0.001534,1.2223107569721114,0.0013986013986013986,0.001255,715.0,0.009186372116143437,MT,13,279,0.021311089995302956,4,1000000,100
15,Algorithm_R,700.920072,714,0.0014454,1.0818862275449102,0.0013986013986013986,0.001336,715.0,0.6295259070471335,MT,13,547,0.28372836190854067,4,5000000,100
16,FYKD,699.365376,714,0.0014472,1.0685174246898996,0.0013986013986013986,0.0013544,715.0,0.6451570144201376,MT,13,464,0.9463044841327826,4,5000000,100
17,PIKK,730.80793,714,0.001447,1.0779201430274135,0.0013986013986013986,0.0013424,715.0,0.3231347825535359,MT,13,523,0.49022367865964,4,5000000,100
18,Random_Sample,753.700228,714,0.0014546,1.08747009569378,0.0013986013986013986,0.0013376,715.0,0.14702494359861507,MT,13,585,0.09037730071715167,4,5000000,100
19,sample_by_index,727.183166,714,0.0014482,1.0799403430275913,0.0013986013986013986,0.001341,715.0,0.3577963329624512,MT,13,536,0.37149844054555026,4,5000000,100
20,Algorithm_R,762.9024159999999,714,0.001434,1.051859458666471,0.0013986013986013984,0.0013633,715.0,0.09970714414054362,MT,13,707,0.712209829520339,4,10000000,100
21,FYKD,726.068619,714,0.0014387,1.0542243716567745,0.0013986013986013986,0.0013647,715.0,0.3687348509940962,MT,13,740,0.4877451032465425,4,10000000,100
22,PIKK,699.9702609999999,714,0.001432,1.0473961380924517,0.0013986013986013984,0.0013672,715.0,0.6390999895198365,MT,13,648,0.9639158829273656,4,10000000,100
23,Random_Sample,736.822219,714,0.0014466,1.0640676719382125,0.0013986013986013986,0.0013595,715.0,0.2692050112994162,MT,13,871,0.02921661955184851,4,10000000,100
24,sample_by_index,773.053271,714,0.0014338,1.0598758131283266,0.0013986013986013986,0.0013528,715.0,0.06188713009117018,MT,13,810,0.13501629467464138,4,10000000,100
25,Algorithm_R,723.6229999999998,714,0.00173,1.6168224299065421,0.0013986013986013986,0.00107,715.0,0.39314175649359206,MT,13,66,0.9363236045473221,4,100000,233424280
26,FYKD,677.2051999999999,714,0.00175,1.682692307692308,0.0013986013986013986,0.00104,715.0,0.8347782778565926,MT,13,71,0.6926794496772749,4,100000,233424280
27,PIKK,689.8607,714,0.00177,1.6698113207547172,0.0013986013986013986,0.00106,715.0,0.7351436469020145,MT,13,71,0.6926794496772749,4,100000,233424280
28,Random_Sample,816.1868999999999,714,0.00182,1.6851851851851851,0.0013986013986013986,0.00108,715.0,0.004628803948197999,MT,13,74,0.4877454410024936,4,100000,233424280
29,sample_by_index,688.0589,714,0.0018,1.7999999999999998,0.0013986013986013986,0.001,715.0,0.7508832038057787,MT,13,80,0.1679563804491886,4,100000,233424280
30,Algorithm_R,765.0819600000001,714,0.001578,1.2913256955810146,0.0013986013986013984,0.001222,715.0,0.09038999653659184,MT,13,178,0.18259184840587217,4,500000,233424280
31,FYKD,771.56844,714,0.001558,1.2404458598726114,0.0013986013986013986,0.001256,715.0,0.06657046717941513,MT,13,151,0.8835557067273612,4,500000,233424280
32,PIKK,707.58738,714,0.00163,1.2957074721780604,0.0013986013986013986,0.001258,715.0,0.560623551621104,MT,13,186,0.0810470310265039,4,500000,233424280
33,Random_Sample,724.63298,714,0.001588,1.274478330658106,0.0013986013986013986,0.001246,715.0,0.38299851374248234,MT,13,171,0.3319370598945547,4,500000,233424280
34,sample_by_index,719.4106200000001,714,0.001572,1.2576,0.0013986013986013986,0.00125,715.0,0.4362624920908458,MT,13,161,0.6252421735298643,4,500000,233424280
35,Algorithm_R,691.49323,714,0.001517,1.1973164956590372,0.0013986013986013986,0.001267,715.0,0.7204834238011503,MT,13,250,0.20436017688420094,4,1000000,233424280
36,FYKD,715.96911,714,0.001523,1.1778808971384378,0.0013986013986013986,0.001293,715.0,0.47221647556712165,MT,13,230,0.5748089872329931,4,1000000,233424280
37,PIKK,695.74605,714,0.001522,1.19185591229444,0.0013986013986013986,0.001277,715.0,0.6806613045145677,MT,13,245,0.2776270090705252,4,1000000,233424280
38,Random_Sample,768.85623,714,0.001519,1.1867187499999998,0.0013986013986013986,0.00128,715.0,0.07584492223439433,MT,13,239,0.3851718539189769,4,1000000,233424280
39,sample_by_index,741.0699000000001,714,0.001522,1.169869331283628,0.0013986013986013986,0.001301,715.0,0.23420281271156518,MT,13,221,0.7629215074234433,4,1000000,233424280
40,Algorithm_R,789.925274,714,0.0014512,1.0834702105420337,0.0013986013986013986,0.0013394,715.0,0.025022157184355145,MT,13,559,0.2044598217658833,4,5000000,233424280
41,FYKD,769.8961220000001,714,0.0014574,1.0880991488726295,0.0013986013986013986,0.0013394,715.0,0.07217640659409104,MT,13,590,0.07610018395588125,4,5000000,233424280
42,PIKK,694.7650659999999,714,0.0014438,1.0781063321385902,0.0013986013986013986,0.0013392,715.0,0.6900427072609735,MT,13,523,0.49022367865964,4,5000000,233424280
43,Random_Sample,668.4250380000001,714,0.0014446,1.0681750961254068,0.0013986013986013986,0.0013524,715.0,0.8878099675061892,MT,13,461,0.9560582737065765,4,5000000,233424280
44,sample_by_index,706.90977,714,0.0014498,1.07344883755368,0.0013986013986013986,0.0013506,715.0,0.5677286379754558,MT,13,496,0.7472011177068223,4,5000000,233424280
45,Algorithm_R,757.548925,714,0.0014383,1.051619507201872,0.0013986013986013986,0.0013677,715.0,0.12561814349157932,MT,13,706,0.7186303499781622,4,10000000,233424280
46,FYKD,727.037444,714,0.0014443,1.063001398395525,0.0013986013986013986,0.0013587,715.0,0.35921946845423225,MT,13,856,0.04381045012808771,4,10000000,233424280
47,PIKK,715.002707,714,0.0014328,1.053839364518976,0.0013986013986013986,0.0013596,715.0,0.4823872272203121,MT,13,732,0.5424759098423388,4,10000000,233424280
48,Random_Sample,681.48222,714,0.001429,1.0450489980985813,0.0013986013986013986,0.0013674,715.0,0.8040626807516823,MT,13,616,0.9951879267065729,4,10000000,233424280
49,sample_by_index,728.686806,714,0.0014359,1.0494810700190031,0.0013986013986013986,0.0013682,715.0,0.3432410114917673,MT,13,677,0.8763707251756154,4,10000000,233424280
50,Algorithm_R,768.2819,714,0.00182,1.7169811320754718,0.0013986013986013986,0.00106,715.0,0.07793247615893262,MT,13,76,0.3595800605112569,4,100000,429496729
51,FYKD,789.7032999999999,714,0.00176,1.6923076923076925,0.0013986013986013986,0.00104,715.0,0.025345167603149928,MT,13,72,0.6253377255774286,4,100000,429496729
52,PIKK,686.8290999999999,714,0.00179,1.6126126126126124,0.0013986013986013986,0.00111,715.0,0.7613485575429698,MT,13,68,0.8631222009981663,4,100000,429496729
53,Random_Sample,678.5494,714,0.00176,1.6448598130841123,0.0013986013986013986,0.00107,715.0,0.8254656232344697,MT,13,69,0.8134221316622926,4,100000,429496729
54,sample_by_index,711.9541999999999,714,0.00177,1.5945945945945945,0.0013986013986013986,0.00111,715.0,0.5145749560815568,MT,13,66,0.9363236045473221,4,100000,429496729
55,Algorithm_R,693.0843200000002,714,0.001538,1.2752902155887231,0.0013986013986013986,0.001206,715.0,0.7058495603452868,MT,13,166,0.471762538162377,4,500000,429496729
56,FYKD,758.16362,714,0.001552,1.2700490998363339,0.0013986013986013986,0.001222,715.0,0.12241782846726267,MT,13,165,0.5019804856052258,4,500000,429496729
57,PIKK,709.3663,714,0.001554,1.267536704730832,0.0013986013986013986,0.001226,715.0,0.5419050757996353,MT,13,164,0.5326172048638292,4,500000,429496729
58,Random_Sample,760.06266,714,0.00155,1.25,0.0013986013986013986,0.00124,715.0,0.1129038723384318,MT,13,155,0.795939654995848,4,500000,429496729
59,sample_by_index,663.1201,714,0.001558,1.2524115755627008,0.0013986013986013986,0.001244,715.0,0.9134099079394761,MT,13,157,0.7430311106806733,4,500000,429496729
60,Algorithm_R,674.8837799999999,714,0.00151,1.1796875,0.0013986013986013986,0.00128,715.0,0.8501160037986315,MT,13,230,0.5748089872329931,4,1000000,429496729
61,FYKD,766.9443200000001,714,0.001514,1.1874509803921567,0.0013986013986013986,0.001275,715.0,0.08296717454695345,MT,13,239,0.3851718539189769,4,1000000,429496729
62,PIKK,721.10281,714,0.001514,1.1940063091482649,0.0013986013986013986,0.001268,715.0,0.4187981378046,MT,13,246,0.26173897282530423,4,1000000,429496729
63,Random_Sample,753.57954,714,0.00151,1.1769290724863601,0.0013986013986013986,0.001283,715.0,0.14773483683771252,MT,13,227,0.6401257716637219,4,1000000,429496729
64,sample_by_index,717.6965500000001,714,0.00151,1.1696359411309063,0.0013986013986013986,0.001291,715.0,0.45410832889644664,MT,13,219,0.7995300068491134,4,1000000,429496729
65,Algorithm_R,689.6067700000001,714,0.0014474,1.0735795875982792,0.0013986013986013986,0.0013482,715.0,0.7373903708425784,MT,13,496,0.7472011177068223,4,5000000,429496729
66,FYKD,755.08218,714,0.0014672,1.0848861283643894,0.0013986013986013986,0.0013524,715.0,0.13906451221288535,MT,13,574,0.12979442876631198,4,5000000,429496729
67,PIKK,668.334662,714,0.0014448,1.070380797155134,0.0013986013986013986,0.0013498,715.0,0.888285889882563,MT,13,475,0.8976259081367728,4,5000000,429496729
68,Random_Sample,760.5822459999999,714,0.0014548,1.080992718085897,0.0013986013986013984,0.0013458,715.0,0.11039793553905883,MT,13,545,0.2986548948882355,4,5000000,429496729
69,sample_by_index,721.756316,714,0.0014672,1.0884272997032642,0.0013986013986013986,0.001348,715.0,0.4121014881580463,MT,13,596,0.06155489485722798,4,5000000,429496729
70,Algorithm_R,697.39526,714,0.0014328,1.052910052910053,0.0013986013986013986,0.0013608,715.0,0.66464864657009,MT,13,720,0.6253373830594198,4,10000000,429496729
71,FYKD,776.714643,714,0.0014427,1.0604969126727433,0.0013986013986013986,0.0013604,715.0,0.051457917965488,MT,13,823,0.1001516189676156,4,10000000,429496729
72,PIKK,708.6343449999999,714,0.0014358,1.0657660332541568,0.0013986013986013984,0.0013472,715.0,0.5496168619757378,MT,13,886,0.019163899028935227,4,10000000,429496729
73,Random_Sample,684.082103,714,0.0014447,1.0597080613217926,0.0013986013986013986,0.0013633,715.0,0.7838736147078045,MT,13,814,0.12337569556070338,4,10000000,429496729
74,sample_by_index,682.847441,714,0.0014394,1.0528856703971912,0.0013986013986013986,0.0013671,715.0,0.7936011917320112,MT,13,723,0.604699553924624,4,10000000,429496729
75,Algorithm_R,315.91855999999996,285,0.00406,1.33993399339934,0.0034965034965034965,0.00303,286.0,0.10051086678169882,MT,13,103,0.6281829338154613,10,100000,100
76,FYKD,277.24564000000004,285,0.00403,1.325657894736842,0.0034965034965034965,0.00304,286.0,0.6178334844278359,MT,13,99,0.7781790228888004,10,100000,100
77,PIKK,340.68044,285,0.00423,1.4147157190635453,0.003496503496503496,0.00299,286.0,0.01310533858409938,MT,13,124,0.06069297033865928,10,100000,100
78,Random_Sample,274.3456,285,0.00401,1.3875432525951554,0.0034965034965034965,0.00289,286.0,0.6641926604083355,MT,13,112,0.2900516821788044,10,100000,100
79,sample_by_index,294.37131999999997,285,0.00405,1.3590604026845636,0.0034965034965034965,0.00298,286.0,0.3386492372556529,MT,13,107,0.4676859306822162,10,100000,100
80,Algorithm_R,287.79257600000005,285,0.003712,1.1585518102372037,0.0034965034965034965,0.003204,286.0,0.44255525633521536,MT,13,254,0.24331353083599272,10,500000,100
81,FYKD,305.246584,285,0.003726,1.1557071960297767,0.0034965034965034965,0.003224,286.0,0.19585669870759267,MT,13,251,0.28234353843567006,10,500000,100
82,PIKK,347.294304,285,0.003724,1.1339829476248477,0.0034965034965034965,0.003284,286.0,0.006800268153259815,MT,13,220,0.7985074236216183,10,500000,100
83,Random_Sample,267.959048,285,0.003728,1.143558282208589,0.0034965034965034965,0.00326,286.0,0.7581739692631724,MT,13,234,0.5617324089225539,10,500000,100
84,sample_by_index,261.06530399999997,285,0.003714,1.12409200968523,0.0034965034965034974,0.003304,286.0,0.8422890051300491,MT,13,205,0.9517501684943246,10,500000,100
85,Algorithm_R,292.02702,285,0.003697,1.1162439613526571,0.0034965034965034965,0.003312,286.0,0.3745538825363059,MT,13,385,0.0846379198027718,10,1000000,100
86,FYKD,294.17202000000003,285,0.003658,1.0975097509750975,0.0034965034965034965,0.003333,286.0,0.3416433353729364,MT,13,325,0.637201421525682,10,1000000,100
87,PIKK,298.81952,285,0.003686,1.1052473763118442,0.0034965034965034965,0.003335,286.0,0.27506898050874495,MT,13,351,0.32220899427413197,10,1000000,100
88,Random_Sample,248.48924,285,0.003661,1.0987394957983194,0.0034965034965034965,0.003332,286.0,0.941989278802523,MT,13,329,0.5863700513026099,10,1000000,100
89,sample_by_index,264.627076,285,0.003687,1.1005970149253732,0.0034965034965034965,0.00335,286.0,0.801350537442322,MT,13,337,0.4846593736304863,10,1000000,100
90,Algorithm_R,270.74506959999997,285,0.00358,1.0416666666666667,0.0034965034965034965,0.0034368,286.0,0.7188007133451073,MT,13,716,0.6964632097417047,10,5000000,100
91,FYKD,258.9389896,285,0.0035674,1.041698300531449,0.0034965034965034965,0.0034246,286.0,0.8640279371470938,MT,13,714,0.7071988714699268,10,5000000,100
92,PIKK,288.5593232,285,0.0035666,1.0429264869290602,0.0034965034965034965,0.0034198,286.0,0.430002866458506,MT,13,734,0.5958899668203266,10,5000000,100
93,Random_Sample,294.5605184,285,0.0035592,1.0400327274852434,0.0034965034965034965,0.0034222,286.0,0.33581753730719394,MT,13,685,0.8445385742426167,10,5000000,100
94,sample_by_index,297.65835599999997,285,0.0035718,1.0452417183659135,0.0034965034965034965,0.0034172,286.0,0.2910313548423627,MT,13,773,0.3802030762342701,10,5000000,100
95,Algorithm_R,289.580424,285,0.0035623,1.0349205426919612,0.0034965034965034965,0.0034421,286.0,0.41343186695536294,MT,13,1202,0.10535010261757471,10,10000000,100
96,FYKD,261.304176,285,0.003541,1.0271211022480058,0.003496503496503496,0.0034475,286.0,0.8397193936137458,MT,13,935,0.9232153999472674,10,10000000,100
97,PIKK,274.0896344,285,0.0035381,1.0316062629384495,0.0034965034965034965,0.0034297,286.0,0.6681940214417783,MT,13,1084,0.4139850081202697,10,10000000,100
98,Random_Sample,281.43794679999996,285,0.0035582,1.0331591173054588,0.0034965034965034965,0.003444,286.0,0.5484976947428204,MT,13,1142,0.22689050821411605,10,10000000,100
99,sample_by_index,290.7772768,285,0.003541,1.0297496146799663,0.0034965034965034965,0.0034387,286.0,0.39425385891568493,MT,13,1023,0.6559880501253521,10,10000000,100
100,Algorithm_R,290.79060000000004,285,0.00403,1.3300330033003298,0.003496503496503496,0.00303,286.0,0.39404200968831926,MT,13,100,0.7431885454857896,10,100000,233424280
101,FYKD,259.47360000000003,285,0.00405,1.3499999999999999,0.0034965034965034965,0.003,286.0,0.8587546090717273,MT,13,105,0.5474993866313964,10,100000,233424280
102,PIKK,291.73440000000005,285,0.00407,1.3796610169491526,0.0034965034965034965,0.00295,286.0,0.37913433967991245,MT,13,112,0.2900516821788044,10,100000,233424280
103,Random_Sample,265.55396,285,0.00404,1.3289473684210527,0.003496503496503496,0.00304,286.0,0.7897960602758447,MT,13,100,0.7431885454857896,10,100000,233424280
104,sample_by_index,326.226,285,0.00405,1.3775510204081631,0.0034965034965034965,0.00294,286.0,0.04672223401827327,MT,13,111,0.3220752930963534,10,100000,233424280
105,Algorithm_R,264.482432,285,0.00381,1.1573511543134873,0.0034965034965034965,0.003292,286.0,0.8031208625331053,MT,13,259,0.18676156465930993,10,500000,233424280
106,FYKD,263.913864,285,0.00373,1.1303030303030301,0.003496503496503496,0.0033,286.0,0.8099927495012461,MT,13,215,0.8642568728726043,10,500000,233424280
107,PIKK,284.677464,285,0.003698,1.1364474492931775,0.0034965034965034965,0.003254,286.0,0.49424893482160237,MT,13,222,0.7685508382538406,10,500000,233424280
108,Random_Sample,302.035376,285,0.003756,1.1571164510166356,0.003496503496503496,0.003246,286.0,0.23343399484123267,MT,13,255,0.2311519537971547,10,500000,233424280
109,sample_by_index,273.079592,285,0.00377,1.1458966565349544,0.0034965034965034965,0.00329,286.0,0.6838172925605438,MT,13,240,0.45477097142932066,10,500000,233424280
110,Algorithm_R,275.386968,285,0.003657,1.0952380952380953,0.0034965034965034965,0.003339,286.0,0.6477512382744587,MT,13,318,0.7227013680938026,10,1000000,233424280
111,FYKD,296.88444400000003,285,0.003672,1.118148599269184,0.0034965034965034965,0.003284,286.0,0.30192864381455986,MT,13,388,0.07372058217143285,10,1000000,233424280
